,close,signal,pnl,cumulative_return
643,21700.37,0,485.62,1.02
644,21773.03,0,485.62,1.02
645,21594.75,0,485.62,1.02
646,21547.42,0,485.62,1.02
647,21505.55,0,485.62,1.02
648,21586.37,0,485.62,1.02
649,21612.62,0,485.62,1.02
650,21554.52,0,485.62,1.02
651,21517.76,0,485.62,1.02
652,21560.10,0,485.62,1.02
653,21654.72,0,485.62,1.02
654,21722.94,0,485.62,1.02
655,21654.79,0,485.62,1.02
656,21735.33,0,485.62,1.02
657,21447.29,0,485.62,1.02
658,21514.78,0,485.62,1.02
659,21563.50,0,485.62,1.02
660,21594.55,0,485.62,1.02
661,21546.90,0,485.62,1.02
662,21693.15,0,485.62,1.02
663,21880.69,0,485.62,1.02
664,21750.87,0,485.62,1.02
665,21621.40,0,485.62,1.02
666,21680.60,0,485.62,1.02
667,21708.05,0,485.62,1.02
668,21627.51,0,485.62,1.02
669,21591.83,0,485.62,1.02
670,21372.91,0,485.62,1.02
671,21414.18,0,485.62,1.02
672,21311.11,0,485.62,1.02
673,21294.98,0,485.62,1.02
674,21276.18,0,485.62,1.02
675,21358.75,0,485.62,1.02
676,21295.65,0,485.62,1.02
677,21338.12,0,485.62,1.02
678,21324.16,0,485.62,1.02
679,21325.00,0,485.62,1.02
680,21277.09,0,485.62,1.02
681,21301.84,0,485.62,1.02
682,21307.22,0,485.62,1.02
683,21080.00,0,485.62,1.02
684,20865.63,0,485.62,1.02
685,20899.76,0,485.62,1.02
686,20932.35,0,485.62,1.02
687,20902.05,0,485.62,1.02
688,20844.81,0,485.62,1.02
689,20920.54,0,485.62,1.02
690,20987.27,0,485.62,1.02
691,21038.24,0,485.62,1.02
692,20839.80,0,485.62,1.02
693,20862.47,0,485.62,1.02
694,20809.56,0,485.62,1.02
695,20555.18,0,485.62,1.02
696,20548.82,0,485.62,1.02
697,20540.69,0,485.62,1.02
698,20527.84,0,485.62,1.02
699,20506.53,0,485.62,1.02
700,20402.91,0,485.62,1.02
701,20439.91,0,485.62,1.02
702,20530.00,0,485.62,1.02
703,20552.02,0,485.62,1.02
704,20533.00,0,485.62,1.02
705,20473.06,0,485.62,1.02
706,20587.68,0,485.62,1.02
707,20373.40,0,485.62,1.02
708,20387.23,0,485.62,1.02
709,20437.44,0,485.62,1.02
710,20418.96,0,485.62,1.02
711,20616.23,0,485.62,1.02
712,20569.36,0,485.62,1.02
713,20509.47,0,485.62,1.02
714,20431.78,0,485.62,1.02
715,20239.38,0,485.62,1.02
716,20007.25,0,485.62,1.02
717,19963.61,0,485.62,1.02
718,19809.84,0,485.62,1.02
719,19890.34,0,485.62,1.02
720,19971.06,0,485.62,1.02
721,19942.33,0,485.62,1.02
722,20004.57,0,485.62,1.02
723,19956.82,0,485.62,1.02
724,19847.14,0,485.62,1.02
725,19730.99,0,485.62,1.02
726,19772.21,0,485.62,1.02
727,19603.42,0,485.62,1.02
728,19619.36,0,485.62,1.02
729,19773.90,0,485.62,1.02
730,19874.12,0,485.62,1.02
731,19784.54,0,485.62,1.02
732,19918.24,0,485.62,1.02
733,19886.33,0,485.62,1.02
734,19903.57,0,485.62,1.02
735,19878.25,0,485.62,1.02
736,19731.18,0,485.62,1.02
737,19398.74,0,485.62,1.02
738,19461.99,0,485.62,1.02
739,19349.50,0,485.62,1.02
740,19375.37,0,485.62,1.02
741,19328.75,0,485.62,1.02
742,19428.23,0,485.62,1.02
743,19427.28,0,485.62,1.02
744,19506.34,0,485.62,1.02
745,19473.68,0,485.62,1.02
746,19480.61,0,485.62,1.02
747,19520.00,0,485.62,1.02
748,19547.22,0,485.62,1.02
749,19705.25,0,485.62,1.02
750,19853.92,0,485.62,1.02
751,19810.00,0,485.62,1.02
752,19788.37,0,485.62,1.02
753,19843.89,0,485.62,1.02
754,19165.01,0,485.62,1.02
755,19293.33,0,485.62,1.02
756,19574.57,0,485.62,1.02
757,19456.20,0,485.62,1.02
758,19631.78,0,485.62,1.02
759,19884.07,0,485.62,1.02
760,19845.02,0,485.62,1.02
761,19652.15,0,485.62,1.02
762,19670.02,0,485.62,1.02
763,19923.51,0,485.62,1.02
764,19846.97,0,485.62,1.02
765,20234.87,0,485.62,1.02
766,20306.05,0,485.62,1.02
767,20277.84,0,485.62,1.02
768,20257.10,0,485.62,1.02
769,20224.24,0,485.62,1.02
770,20083.01,0,485.62,1.02
771,20114.33,0,485.62,1.02
772,20023.69,0,485.62,1.02
773,19990.72,0,485.62,1.02
774,19764.62,0,485.62,1.02
775,19823.11,0,485.62,1.02
776,19781.13,0,485.62,1.02
777,19738.13,0,485.62,1.02
778,19783.60,0,485.62,1.02
779,19762.87,0,485.62,1.02
780,19893.58,0,485.62,1.02
781,20390.50,0,485.62,1.02
782,20223.21,0,485.62,1.02
783,20738.17,0,485.62,1.02
784,20695.70,0,485.62,1.02
785,20605.75,0,485.62,1.02
786,20682.33,0,485.62,1.02
787,20478.23,0,485.62,1.02
788,20501.54,0,485.62,1.02
789,20588.84,0,485.62,1.02
790,20397.79,0,485.62,1.02
791,20628.23,0,485.62,1.02
792,20489.64,0,485.62,1.02
793,20611.83,0,485.62,1.02
794,20542.86,0,485.62,1.02
795,20666.10,0,485.62,1.02
796,20603.22,0,485.62,1.02
797,20835.38,0,485.62,1.02
798,20869.81,0,485.62,1.02
799,20896.45,0,485.62,1.02
800,20868.33,0,485.62,1.02
801,20769.74,0,485.62,1.02
802,20986.53,0,485.62,1.02
803,20861.02,0,485.62,1.02
804,20890.53,0,485.62,1.02
805,20792.19,0,485.62,1.02
806,20756.16,0,485.62,1.02
807,20786.11,0,485.62,1.02
808,21037.25,0,485.62,1.02
809,21165.85,0,485.62,1.02
810,20933.89,0,485.62,1.02
811,20967.40,0,485.62,1.02
812,20890.79,0,485.62,1.02
813,20830.04,0,485.62,1.02
814,20681.21,0,485.62,1.02
