timestamp,price,signal,shares,cash,equity,position,trade_type,trade_pnl
313,21300.62,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
314,21234.48,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
315,21216.88,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
316,21303.62,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
317,21508.13,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
318,21395.38,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
319,21432.69,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
320,21433.15,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
321,21340.22,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
322,21147.94,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
323,21165.45,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
324,21128.9,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
325,20961.89,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
326,21053.63,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
327,21096.77,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
328,21236.85,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
329,21206.2,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
330,21226.14,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
331,21512.07,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
332,21431.33,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
333,21491.19,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
334,21468.29,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
335,21395.07,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
336,21352.77,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
337,21426.23,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
338,21424.82,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
339,21442.01,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
340,21476.19,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
341,21396.52,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
342,21453.21,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
343,21414.83,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
344,21417.86,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
345,21708.6,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
346,21456.36,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
347,21408.93,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
348,21411.58,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
